"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"22.12.2022","78,45","78,47","79,88","77,03","","0,27%"
"21.12.2022","78,24","76,00","78,56","75,81","","2,64%"
"20.12.2022","76,23","75,77","76,96","74,46","","0,45%"
"19.12.2022","75,89","75,54","76,59","74,04","","1,93%"
"16.12.2022","74,45","76,24","76,57","73,33","","-2,36%"
"15.12.2022","76,25","77,26","77,76","75,38","","-1,32%"
"14.12.2022","77,27","75,19","77,74","74,91","","2,77%"
"13.12.2022","75,19","73,42","76,36","73,22","","2,38%"
"12.12.2022","73,44","71,89","73,98","70,25","","2,14%"
"11.12.2022","71,90","71,78","72,31","71,65","","0,56%"
"09.12.2022","71,50","72,07","72,92","70,11","","-0,78%"
"08.12.2022","72,06","72,57","75,39","71,14","","-0,72%"
"07.12.2022","72,58","74,47","75,36","71,75","","-2,54%"
"06.12.2022","74,47","77,41","77,88","73,43","","-3,79%"
"05.12.2022","77,40","81,13","82,71","76,78","","-4,62%"
"04.12.2022","81,15","80,06","81,29","79,89","","1,06%"
"02.12.2022","80,30","81,32","82,19","79,68","","-1,27%"
"01.12.2022","81,33","80,56","83,33","79,94","","0,96%"
"30.11.2022","80,56","78,75","81,34","78,41","","3,02%"
"29.11.2022","78,20","76,54","79,65","76,29","381,87K","1,24%"
"28.11.2022","77,24","75,93","77,84","73,60","405,03K","1,26%"
"25.11.2022","76,28","77,51","79,90","76,22","266,45K","-2,14%"
"24.11.2022","77,95","77,53","78,19","76,92","","0,01%"
"23.11.2022","77,94","81,08","81,95","76,83","379,15K","-3,72%"
"22.11.2022","80,95","80,22","82,36","79,85","269,62K","1,53%"
"21.11.2022","79,73","80,30","80,30","75,08","21,98K","-0,44%"
"18.11.2022","80,08","82,09","82,64","77,24","96,58K","-1,91%"
"17.11.2022","81,64","85,22","85,45","81,40","138,48K","-4,62%"
"16.11.2022","85,59","86,89","87,51","84,20","225,67K","-1,53%"
"15.11.2022","86,92","85,25","88,68","84,06","331,71K","1,22%"
"14.11.2022","85,87","89,02","89,84","85,15","315,45K","-3,47%"
"11.11.2022","88,96","86,27","90,10","86,18","301,66K","2,88%"
"10.11.2022","86,47","85,85","87,35","84,70","340,01K","0,75%"
"09.11.2022","85,83","88,57","89,24","85,50","388,30K","-3,46%"
"08.11.2022","88,91","91,87","92,17","88,52","344,22K","-3,14%"
"07.11.2022","91,79","91,00","93,74","90,40","322,42K","-0,89%"
"04.11.2022","92,61","87,90","92,87","87,82","354,06K","5,04%"
"03.11.2022","88,17","89,35","89,67","87,60","239,82K","-2,03%"
"02.11.2022","90,00","88,62","90,36","87,72","280,96K","1,84%"
"01.11.2022","88,37","86,43","89,45","85,92","274,32K","2,13%"
"31.10.2022","86,53","88,39","88,65","85,30","285,34K","-1,56%"
"28.10.2022","87,90","88,67","88,76","87,08","263,40K","-1,32%"
"27.10.2022","89,08","88,26","89,79","87,33","292,56K","1,33%"
"26.10.2022","87,91","85,07","88,41","84,14","287,18K","3,04%"
"25.10.2022","85,32","84,88","86,03","83,06","240,44K","0,87%"
"24.10.2022","84,58","85,24","85,92","82,63","250,73K","-0,55%"
"21.10.2022","85,05","85,07","85,90","83,15","272,80K","-1,08%"
"20.10.2022","85,98","85,94","88,17","85,22","18,18K","0,50%"
"19.10.2022","85,55","83,69","86,20","82,59","71,31K","3,30%"
"18.10.2022","82,82","85,70","86,51","82,09","97,30K","-3,09%"
"17.10.2022","85,46","85,59","87,12","84,61","172,02K","-0,18%"
"14.10.2022","85,61","89,27","89,73","85,20","237,03K","-3,93%"
"13.10.2022","89,11","87,08","89,66","85,56","298,03K","2,11%"
"12.10.2022","87,27","88,67","90,07","86,28","332,27K","-2,33%"
"11.10.2022","89,35","91,14","91,35","87,91","333,16K","-1,95%"
"10.10.2022","91,13","93,48","93,64","90,54","289,51K","-1,63%"
"07.10.2022","92,64","88,93","93,31","88,00","429,16K","4,74%"
"06.10.2022","88,45","88,08","89,07","87,04","235,30K","0,79%"
"05.10.2022","87,76","86,37","88,42","85,42","329,79K","1,43%"
